customer_id,age,income,gender,city,signup_date,spending_score,loyalty_level
1,29,,FEMALE,Bukhara,2022-01-01,19,Low
2,55,2180.0,FEMALE,Bukhara,2022-01-02,13,Low
3,43,2832.0,male,Tashkent,2022-01-03,2,Low
4,29,4220.0,FEMALE,Samarkand,2022-01-04,56,High
5,34,642.0,Male,Bukhara,2022-01-05,82,Medium
6,48,4456.0,male,Bukhara,2022-01-06,65,Medium
7,52,3844.0,FEMALE,Bukhara,2022-01-07,56,Medium
8,30,3932.0,FEMALE,Bukhara,2022-01-08,88,Medium
9,57,3149.0,FEMALE,Samarkand,2022-01-09,44,High
10,51,821.0,FEMALE,Samarkand,2022-01-10,58,Medium
11,34,,male,Tashkent,2022-01-11,55,Low
12,53,3693.0,male,Bukhara,2022-01-12,44,Low
13,39,2737.0,Male,Samarkand,2022-01-13,33,Low
14,19,4336.0,Male,Tashkent,2022-01-14,40,Medium
15,24,3024.0,FEMALE,Tashkent,2022-01-15,73,High
16,47,1325.0,male,Tashkent,2022-01-16,55,Low
17,19,4779.0,Male,Samarkand,2022-01-17,71,Medium
18,30,1893.0,FEMALE,Samarkand,2022-01-18,39,High
19,34,3338.0,Male,Tashkent,2022-01-19,6,Low
20,45,4365.0,Male,Samarkand,2022-01-20,90,Medium
21,56,,male,Bukhara,2022-01-21,99,Low
22,49,4732.0,FEMALE,Bukhara,2022-01-22,41,Medium
23,19,4961.0,FEMALE,Bukhara,2022-01-23,29,High
24,42,2761.0,FEMALE,Tashkent,2022-01-24,78,Medium
25,34,3871.0,male,Bukhara,2022-01-25,25,Medium
26,25,705.0,Male,Tashkent,2022-01-26,83,Medium
27,27,3250.0,male,Samarkand,2022-01-27,38,Low
28,54,2565.0,Male,Tashkent,2022-01-28,89,Medium
29,47,3854.0,male,Tashkent,2022-01-29,16,High
30,33,2244.0,FEMALE,Bukhara,2022-01-30,26,Medium
31,27,,Male,Bukhara,2022-01-31,24,High
32,53,2749.0,FEMALE,Samarkand,2022-02-01,47,Medium
33,32,778.0,FEMALE,Bukhara,2022-02-02,13,Low
34,35,1533.0,FEMALE,Samarkand,2022-02-03,47,Low
35,31,924.0,Male,Bukhara,2022-02-04,95,Medium
36,53,3629.0,male,Tashkent,2022-02-05,34,Medium
37,42,3996.0,FEMALE,Bukhara,2022-02-06,79,High
38,59,1748.0,male,Samarkand,2022-02-07,83,High
39,27,3111.0,male,Samarkand,2022-02-08,72,Low
40,20,4457.0,male,Bukhara,2022-02-09,84,Medium
41,42,,Male,Samarkand,2022-02-10,41,High
42,27,2401.0,Male,Samarkand,2022-02-11,9,Low
43,46,1658.0,FEMALE,Bukhara,2022-02-12,9,Low
44,44,2333.0,FEMALE,Bukhara,2022-02-13,77,Medium
45,19,3191.0,FEMALE,Samarkand,2022-02-14,28,Low
46,31,4456.0,male,Bukhara,2022-02-15,18,Medium
47,50,3667.0,FEMALE,Tashkent,2022-02-16,93,Low
48,25,3933.0,Male,Samarkand,2022-02-17,21,High
49,25,2833.0,Male,Bukhara,2022-02-18,30,Low
50,39,4397.0,male,Samarkand,2022-02-19,78,High
51,18,,Male,Bukhara,2022-02-20,72,Low
52,20,4528.0,FEMALE,Bukhara,2022-02-21,27,Medium
53,58,2433.0,male,Tashkent,2022-02-22,35,Low
54,50,4288.0,FEMALE,Samarkand,2022-02-23,11,Medium
55,46,2122.0,male,Samarkand,2022-02-24,86,Low
56,51,1560.0,Male,Tashkent,2022-02-25,39,Medium
57,43,3965.0,FEMALE,Bukhara,2022-02-26,34,High
58,56,1976.0,Male,Bukhara,2022-02-27,42,Low
59,42,3729.0,FEMALE,Tashkent,2022-02-28,27,Medium
60,39,557.0,FEMALE,Samarkand,2022-03-01,37,Low
61,34,,male,Tashkent,2022-03-02,9,Medium
62,20,3203.0,male,Samarkand,2022-03-03,43,Medium
63,24,2141.0,male,Samarkand,2022-03-04,14,High
64,30,2604.0,male,Samarkand,2022-03-05,98,Medium
65,45,2620.0,male,Bukhara,2022-03-06,22,Medium
66,30,3740.0,male,Tashkent,2022-03-07,21,Medium
67,47,3560.0,Male,Samarkand,2022-03-08,56,High
68,42,939.0,FEMALE,Bukhara,2022-03-09,61,High
69,21,741.0,male,Samarkand,2022-03-10,55,High
70,21,3130.0,FEMALE,Bukhara,2022-03-11,32,Low
71,47,,male,Samarkand,2022-03-12,43,Low
72,45,791.0,Male,Samarkand,2022-03-13,91,High
73,39,2745.0,FEMALE,Tashkent,2022-03-14,51,Low
74,55,2549.0,male,Samarkand,2022-03-15,57,High
75,18,4638.0,Male,Bukhara,2022-03-16,61,High
76,34,2625.0,male,Tashkent,2022-03-17,51,High
77,35,1879.0,FEMALE,Bukhara,2022-03-18,36,High
78,22,3098.0,male,Bukhara,2022-03-19,6,Medium
79,25,698.0,FEMALE,Bukhara,2022-03-20,27,High
80,44,3642.0,male,Samarkand,2022-03-21,79,Low
81,49,,Male,Bukhara,2022-03-22,90,Medium
82,37,2891.0,FEMALE,Samarkand,2022-03-23,92,Low
83,41,4326.0,male,Tashkent,2022-03-24,26,High
84,43,4927.0,male,Bukhara,2022-03-25,73,High
85,42,604.0,FEMALE,Bukhara,2022-03-26,31,Medium
86,27,4459.0,FEMALE,Bukhara,2022-03-27,13,High
87,21,2959.0,Male,Samarkand,2022-03-28,14,Low
88,32,2375.0,FEMALE,Tashkent,2022-03-29,67,Low
89,47,2783.0,FEMALE,Bukhara,2022-03-30,39,Low
90,49,2002.0,FEMALE,Bukhara,2022-03-31,92,High
91,51,,male,Bukhara,2022-04-01,51,Low
92,55,4001.0,Male,Tashkent,2022-04-02,81,High
93,46,4889.0,FEMALE,Tashkent,2022-04-03,39,Medium
94,19,2281.0,male,Bukhara,2022-04-04,59,Medium
95,42,4132.0,male,Tashkent,2022-04-05,25,Low
